"filename", "language", "YAML", "Markdown", "Dart", "Kotlinscript", "Properties", "Swift", "Gradle", "XML", "C++", "Project.pbxproj", "JSON", "Batch", "Kotlin", "comment", "blank", "total"
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 5, 29
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\app\build.gradle.kts", "Kotlinscript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 48
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\app\src\main\kotlin\org\example\App.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 3, 16
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\app\src\test\kotlin\org\example\AppTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 3, 15
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\firebase.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\gradle.properties", "Properties", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 7
"c:\Users\navid\OneDrive\Desktop\ConnectGate Projects\ConnectGate\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
