"filename", "language", "YAML", "Dart", "Markdown", "Gradle", "Properties", "Ruby", "Swift", "JSON", "XML", "C++", "Kotlin", "Project.pbxproj", "comment", "blank", "total"
"/Users/golden/Documents/connectgate/lib/Screen/Admin_Side/Login_Admin.dart", "Dart", 0, 427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 30, 596
"/Users/golden/Documents/connectgate/lib/Screen/Admin_Side/Profile_Admin.dart", "Dart", 0, 606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 23, 669
"/Users/golden/Documents/connectgate/lib/Screen/Admin_Side/Question_Add.dart", "Dart", 0, 723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 723, 218, 1664
"/Users/golden/Documents/connectgate/lib/Screen/Admin_Side/UsersGroupsCreate.dart", "Dart", 0, 711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1037, 103, 1851
"/Users/golden/Documents/connectgate/lib/Screen/Admin_Side/about_admin.dart", "Dart", 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 23, 590
"/Users/golden/Documents/connectgate/lib/Screen/Admin_Side/see_users_answers_admin.dart", "Dart", 0, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1249, 914, 3023
"/Users/golden/Documents/connectgate/lib/Screen/Splash_Screen.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 11, 142
"/Users/golden/Documents/connectgate/lib/Screen/User_Side/Answeared_User.dart", "Dart", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 146
"/Users/golden/Documents/connectgate/lib/Screen/User_Side/Login_User.dart", "Dart", 0, 516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 483, 424, 1423
"/Users/golden/Documents/connectgate/lib/Screen/User_Side/Open_Q_Page.dart", "Dart", 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 793, 787, 1982
"/Users/golden/Documents/connectgate/lib/Screen/User_Side/Profile_User.dart", "Dart", 0, 576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 16, 623
"/Users/golden/Documents/connectgate/lib/Screen/User_Side/Question_User.dart", "Dart", 0, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 28, 467
"/Users/golden/Documents/connectgate/lib/Screen/User_Side/User_Main_Screen.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 13, 123
"/Users/golden/Documents/connectgate/lib/Screen/User_Side/about.dart", "Dart", 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 297, 26, 593
"/Users/golden/Documents/connectgate/lib/Screen/User_Side/see_users_answers.dart", "Dart", 0, 709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1183, 793, 2685
"/Users/golden/Documents/connectgate/lib/Services/answer_service.dart", "Dart", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 25, 200
"/Users/golden/Documents/connectgate/lib/Services/auth_services.dart", "Dart", 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 380
"/Users/golden/Documents/connectgate/lib/Services/group_services.dart", "Dart", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 64, 423
"/Users/golden/Documents/connectgate/lib/Services/question_services.dart", "Dart", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 34, 336
"/Users/golden/Documents/connectgate/lib/Utils/Image_picker_help_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 11, 34
"/Users/golden/Documents/connectgate/lib/Widgets/Indicator_widgets.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 47
"/Users/golden/Documents/connectgate/lib/Widgets/answer_card_admin_side.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1290, 1132, 2422
"/Users/golden/Documents/connectgate/lib/Widgets/answer_card_user_side.dart", "Dart", 0, 459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 489
"/Users/golden/Documents/connectgate/lib/Widgets/pie_cahrt_widgets.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 27, 247
"/Users/golden/Documents/connectgate/lib/core/CeckForUpdate.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 42, 243
"/Users/golden/Documents/connectgate/lib/core/Check internet.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 59
"/Users/golden/Documents/connectgate/lib/core/MyImages.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"/Users/golden/Documents/connectgate/lib/core/NoInternet.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 80
"/Users/golden/Documents/connectgate/lib/firebase_options.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 71
"/Users/golden/Documents/connectgate/lib/language/MyControler.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 41
"/Users/golden/Documents/connectgate/lib/language/text.dart", "Dart", 0, 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 463
