"filename", "language", "Kotlinscript", "Markdown", "YAML", "Properties", "Batch", "Dart", "JSON", "Swift", "Project.pbxproj", "C++", "XML", "Kotlin", "Gradle", "comment", "blank", "total"
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\navid\OneDrive\Desktop\ConnectGate\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 5, 29
"c:\Users\navid\OneDrive\Desktop\ConnectGate\app\build.gradle.kts", "Kotlinscript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 48
"c:\Users\navid\OneDrive\Desktop\ConnectGate\app\src\main\kotlin\org\example\App.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 3, 16
"c:\Users\navid\OneDrive\Desktop\ConnectGate\app\src\test\kotlin\org\example\AppTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 3, 15
"c:\Users\navid\OneDrive\Desktop\ConnectGate\devtools_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\navid\OneDrive\Desktop\ConnectGate\firebase.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\navid\OneDrive\Desktop\ConnectGate\gradle.properties", "Properties", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 7
"c:\Users\navid\OneDrive\Desktop\ConnectGate\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\navid\OneDrive\Desktop\ConnectGate\gradlew.bat", "Batch", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 30, 22, 93
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner.xcodeproj\project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 0, 0, 0, 570, 0, 0, 0, 0, 31, 16, 617
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\GoogleService-Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\navid\OneDrive\Desktop\ConnectGate\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\navid\OneDrive\Desktop\ConnectGate\lib\Screen\Admin_Side\Admin_Main_Screen.dart", "Dart", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 19, 12, 114
